case_id,visa_type,beneficiary_data,recommender_data,rough_draft,final_draft
case_11,NIW,"Dr. Alex 11 works in HCI. Publications: 24. Citations: 240. Awards: —. Key venues: CVPR, NeurIPS, ACL.","Dr. Jordan 11, Professor, Microsoft Research","I am writing to recommend Dr. Alex 11. Dr. Alex 11 is a talented researcher in HCI. They have many
publications and their work is known at venues like CVPR, NeurIPS, ACL. They have around 24 publications. I
believe they are highly qualified.","I am honored to recommend Dr. Alex 11 for the NIW visa category. As Professor at Microsoft Research, I have
closely followed Dr. Alex 11's work in HCI.

Dr. Alex 11 has authored 24 peer-reviewed publications with approximately 240 citations. Dr. Alex 11's
research appears at CVPR, NeurIPS, ACL and is widely recognized in HCI.

In summary, Dr. Alex 11 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_12,O-1A,"Dr. Alex 12 works in computational biology. Publications: 58. Citations: 644. Awards: ACM Best Paper Award, IEEE Fellow.
Key venues: CVPR, EMNLP, ICLR.","Dr. Jordan 12, Research Scientist, OpenAI","They have many publications and their work is known at venues like CVPR, EMNLP, ICLR. They have around 58
publications. I believe they are highly qualified. Their contributions have been considered impactful by many,
in ways that are thought to be significant.","I am honored to recommend Dr. Alex 12 for the O-1A visa category. As Research Scientist at OpenAI, I have
closely followed Dr. Alex 12's work in computational biology.

Dr. Alex 12 has authored 58 peer-reviewed publications with approximately 644 citations. Notably, Dr. Alex 12
received ACM Best Paper Award, IEEE Fellow. Dr. Alex 12's research appears at CVPR, EMNLP, ICLR and is widely
recognized in computational biology.

In summary, Dr. Alex 12 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_13,EB-1A,"Dr. Alex 13 works in robotics. Publications: 62. Citations: 1515. Awards: Turing Award nomination, ACM Best Paper Award.
Key venues: ICML.","Dr. Jordan 13, Principal Scientist, Google DeepMind","I am writing to recommend Dr. Alex 13. Dr. Alex 13 is a talented researcher in robotics. They have many
publications and their work is known at venues like ICML. They have around 62 publications. I believe they are
qualified for the EB-1A visa. Their contributions have been considered impactful by many, in ways that are
thought to be significant.","I am honored to recommend Dr. Alex 13 for the EB-1A visa category. As Principal Scientist at Google DeepMind,
I have closely followed Dr. Alex 13's work in robotics.

Dr. Alex 13 has authored 62 peer-reviewed publications with approximately 1515 citations. Notably, Dr. Alex 13
received Turing Award nomination, ACM Best Paper Award. Dr. Alex 13's research appears at ICML and is widely
recognized in robotics.

In summary, Dr. Alex 13 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_14,EB-1A,"Dr. Alex 14 works in cybersecurity. Publications: 55. Citations: 3609. Awards: —. Key venues: AAAI, CVPR.","Dr. Jordan 14, Principal Scientist, CMU","I am writing to recommend Dr. Alex 14. Dr. Alex 14 is a talented researcher in cybersecurity. They have many
publications and their work is known at venues like AAAI, CVPR. They have around 55 publications. I believe
they are qualified for the O-1A visa.","I am honored to recommend Dr. Alex 14 for the EB-1A visa category. As Principal Scientist at CMU, I have
closely followed Dr. Alex 14's work in cybersecurity.

Dr. Alex 14 has authored 55 peer-reviewed publications with approximately 3609 citations. Dr. Alex 14's
research appears at AAAI, CVPR and is widely recognized in cybersecurity.

In summary, Dr. Alex 14 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_15,NIW,"Dr. Alex 15 works in computational biology. Publications: 24. Citations: 1042. Awards: —. Key venues: CVPR, ICLR,
NeurIPS.","Dr. Jordan 15, Chair, Caltech","I am writing to recommend Dr. Alex 15. Dr. Alex 15 is a talented researcher in computational biology. They
have many publications and their work is known at venues like CVPR, ICLR, NeurIPS. They have around 24
publications. I believe they are qualified for the NIW visa. Their contributions have been considered
impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 15 for the NIW visa category. As Chair at Caltech, I have closely followed
Dr. Alex 15's work in computational biology.

Dr. Alex 15 has authored 24 peer-reviewed publications with approximately 1042 citations. Dr. Alex 15's
research appears at CVPR, ICLR, NeurIPS and is widely recognized in computational biology.

In summary, Dr. Alex 15 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_16,NIW,"Dr. Alex 16 works in computational biology. Publications: 46. Citations: 1459. Awards: ACM Best Paper Award, ACL Best
Paper Award. Key venues: ACL, ICLR.","Dr. Jordan 16, Chair, MIT","I am writing to recommend Dr. Alex 16. Dr. Alex 16 is a talented researcher in computational biology. They
have many publications and their work is known at venues like ACL, ICLR. They have around 46 publications. I
believe they are highly qualified.","I am honored to recommend Dr. Alex 16 for the NIW visa category. As Chair at MIT, I have closely followed Dr.
Alex 16's work in computational biology.

Dr. Alex 16 has authored 46 peer-reviewed publications with approximately 1459 citations. Notably, Dr. Alex 16
received ACM Best Paper Award, ACL Best Paper Award. Dr. Alex 16's research appears at ACL, ICLR and is widely
recognized in computational biology.

In summary, Dr. Alex 16 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_17,NIW,"Dr. Alex 17 works in HCI. Publications: 62. Citations: 2128. Awards: ACM Best Paper Award, IEEE Fellow. Key venues:
CVPR, ACL.","Dr. Jordan 17, Associate Professor, Microsoft Research","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
17. Dr. Alex 17 is a talented researcher in HCI. They have many publications and their work is known at venues
like CVPR, ACL. They have around 62 publications. Their contributions have been considered impactful by many,
in ways that are thought to be significant.","I am honored to recommend Dr. Alex 17 for the NIW visa category. As Associate Professor at Microsoft Research,
I have closely followed Dr. Alex 17's work in HCI.

Dr. Alex 17 has authored 62 peer-reviewed publications with approximately 2128 citations. Notably, Dr. Alex 17
received ACM Best Paper Award, IEEE Fellow. Dr. Alex 17's research appears at CVPR, ACL and is widely
recognized in HCI.

In summary, Dr. Alex 17 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_18,NIW,"Dr. Alex 18 works in computational biology. Publications: 73. Citations: 413. Awards: AAAI Fellow. Key venues: ICLR,
AAAI.","Dr. Jordan 18, Professor, OpenAI","I am writing to recommend Dr. Alex 18. Dr. Alex 18 is a talented researcher in computational biology. They
have many publications and their work is known at venues like ICLR, AAAI. They have around 73 publications. I
believe they are qualified for the NIW visa.","I am honored to recommend Dr. Alex 18 for the NIW visa category. As Professor at OpenAI, I have closely
followed Dr. Alex 18's work in computational biology.

Dr. Alex 18 has authored 73 peer-reviewed publications with approximately 413 citations. Notably, Dr. Alex 18
received AAAI Fellow. Dr. Alex 18's research appears at ICLR, AAAI and is widely recognized in computational
biology.

In summary, Dr. Alex 18 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_19,EB-1A,"Dr. Alex 19 works in cybersecurity. Publications: 69. Citations: 3593. Awards: ACM Best Paper Award. Key venues: ICLR,
ACL, AAAI.","Dr. Jordan 19, Chair, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
19. Dr. Alex 19 is a talented researcher in cybersecurity. They have many publications and are recognized in
their field. They have around 84 publications. I believe they are qualified for the EB-1A visa. Their
contributions have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 19 for the EB-1A visa category. As Chair at Caltech, I have closely
followed Dr. Alex 19's work in cybersecurity.

Dr. Alex 19 has authored 69 peer-reviewed publications with approximately 3593 citations. Notably, Dr. Alex 19
received ACM Best Paper Award. Dr. Alex 19's research appears at ICLR, ACL, AAAI and is widely recognized in
cybersecurity.

In summary, Dr. Alex 19 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_20,NIW,"Dr. Alex 20 works in computer vision. Publications: 22. Citations: 1253. Awards: —. Key venues: AAAI, KDD, ICML.","Dr. Jordan 20, Associate Professor, Microsoft Research","I am writing to recommend Dr. Alex 20. Dr. Alex 20 is a talented researcher in computer vision. Their work is
recognized at top venues. They have around 16 publications. Their contributions have been considered impactful
by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 20 for the NIW visa category. As Associate Professor at Microsoft Research,
I have closely followed Dr. Alex 20's work in computer vision.

Dr. Alex 20 has authored 22 peer-reviewed publications with approximately 1253 citations. Dr. Alex 20's
research appears at AAAI, KDD, ICML and is widely recognized in computer vision.

In summary, Dr. Alex 20 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_21,O-1A,Dr. Alex 21 works in cybersecurity. Publications: 73. Citations: 1470. Awards: —. Key venues: KDD.,"Dr. Jordan 21, Chair, MIT","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
21. Dr. Alex 21 is a talented researcher in cybersecurity. They have many publications and their work is known
at venues like KDD. They have around 73 publications. They also received the Global Genius Prize. I believe
they are qualified for the O-1A visa.","I am honored to recommend Dr. Alex 21 for the O-1A visa category. As Chair at MIT, I have closely followed Dr.
Alex 21's work in cybersecurity.

Dr. Alex 21 has authored 73 peer-reviewed publications with approximately 1470 citations. Dr. Alex 21's
research appears at KDD and is widely recognized in cybersecurity.

In summary, Dr. Alex 21 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_22,NIW,Dr. Alex 22 works in theoretical CS. Publications: 61. Citations: 2517. Awards: NSF CAREER Award. Key venues: ICML.,"Dr. Jordan 22, Professor, CMU","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
22. Dr. Alex 22 is a talented researcher in theoretical CS. They have many publications and their work is
known at venues like ICML. They have around 61 publications. I believe they are qualified for the NIW visa.","I am honored to recommend Dr. Alex 22 for the NIW visa category. As Professor at CMU, I have closely followed
Dr. Alex 22's work in theoretical CS.

Dr. Alex 22 has authored 61 peer-reviewed publications with approximately 2517 citations. Notably, Dr. Alex 22
received NSF CAREER Award. Dr. Alex 22's research appears at ICML and is widely recognized in theoretical CS.

In summary, Dr. Alex 22 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_23,EB-1A,"Dr. Alex 23 works in computer vision. Publications: 77. Citations: 3641. Awards: —. Key venues: ICLR, ICML, ACL.","Dr. Jordan 23, Research Scientist, Microsoft Research","I am writing to recommend Dr. Alex 23. Dr. Alex 23 is a talented researcher in computer vision. They have many
publications and their work is known at venues like ICLR, ICML, ACL. They have around 77 publications. I
believe they are highly qualified. Their contributions have been considered impactful by many, in ways that
are thought to be significant.","I am honored to recommend Dr. Alex 23 for the EB-1A visa category. As Research Scientist at Microsoft
Research, I have closely followed Dr. Alex 23's work in computer vision.

Dr. Alex 23 has authored 77 peer-reviewed publications with approximately 3641 citations. Dr. Alex 23's
research appears at ICLR, ICML, ACL and is widely recognized in computer vision.

In summary, Dr. Alex 23 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_24,EB-1A,Dr. Alex 24 works in HCI. Publications: 8. Citations: 4463. Awards: —. Key venues: KDD.,"Dr. Jordan 24, Principal Scientist, CMU","I am writing to recommend Dr. Alex 24. Dr. Alex 24 is a talented researcher in HCI. Their work is recognized
at top venues. They have around 8 publications.","I am honored to recommend Dr. Alex 24 for the EB-1A visa category. As Principal Scientist at CMU, I have
closely followed Dr. Alex 24's work in HCI.

Dr. Alex 24 has authored 8 peer-reviewed publications with approximately 4463 citations. Dr. Alex 24's
research appears at KDD and is widely recognized in HCI.

In summary, Dr. Alex 24 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_25,EB-1A,"Dr. Alex 25 works in cybersecurity. Publications: 63. Citations: 1209. Awards: ACL Best Paper Award. Key venues: ACL,
AAAI, ICML.","Dr. Jordan 25, Professor, OpenAI","I am writing to recommend Dr. Alex 25. Dr. Alex 25 is a talented researcher in cybersecurity. They have many
publications and their work is known at venues like ACL, AAAI, ICML. They have around 63 publications. I
believe they are highly qualified.","I am honored to recommend Dr. Alex 25 for the EB-1A visa category. As Professor at OpenAI, I have closely
followed Dr. Alex 25's work in cybersecurity.

Dr. Alex 25 has authored 63 peer-reviewed publications with approximately 1209 citations. Notably, Dr. Alex 25
received ACL Best Paper Award. Dr. Alex 25's research appears at ACL, AAAI, ICML and is widely recognized in
cybersecurity.

In summary, Dr. Alex 25 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_26,EB-1A,"Dr. Alex 26 works in cybersecurity. Publications: 67. Citations: 3808. Awards: —. Key venues: ICLR, KDD, ICML.","Dr. Jordan 26, Chair, MIT","Their work is recognized at top venues. They have around 67 publications. They also received the Global Genius
Prize. I believe they are qualified for the EB-1A visa.","I am honored to recommend Dr. Alex 26 for the EB-1A visa category. As Chair at MIT, I have closely followed
Dr. Alex 26's work in cybersecurity.

Dr. Alex 26 has authored 67 peer-reviewed publications with approximately 3808 citations. Dr. Alex 26's
research appears at ICLR, KDD, ICML and is widely recognized in cybersecurity.

In summary, Dr. Alex 26 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_27,NIW,"Dr. Alex 27 works in computational biology. Publications: 64. Citations: 1887. Awards: ACL Best Paper Award. Key venues:
AAAI.","Dr. Jordan 27, Associate Professor, OpenAI","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
27. Dr. Alex 27 is a talented researcher in computational biology. They have many publications and their work
is known at venues like AAAI. They have around 64 publications. I believe they are qualified for the NIW visa.","I am honored to recommend Dr. Alex 27 for the NIW visa category. As Associate Professor at OpenAI, I have
closely followed Dr. Alex 27's work in computational biology.

Dr. Alex 27 has authored 64 peer-reviewed publications with approximately 1887 citations. Notably, Dr. Alex 27
received ACL Best Paper Award. Dr. Alex 27's research appears at AAAI and is widely recognized in
computational biology.

In summary, Dr. Alex 27 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_28,NIW,"Dr. Alex 28 works in NLP. Publications: 59. Citations: 4333. Awards: —. Key venues: ICML, ACL.","Dr. Jordan 28, Chair, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
28. Dr. Alex 28 is a talented researcher in NLP. Their work is recognized at top venues. They have around 59
publications. I believe they are qualified for the NIW visa. Their contributions have been considered
impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 28 for the NIW visa category. As Chair at Caltech, I have closely followed
Dr. Alex 28's work in NLP.

Dr. Alex 28 has authored 59 peer-reviewed publications with approximately 4333 citations. Dr. Alex 28's
research appears at ICML, ACL and is widely recognized in NLP.

In summary, Dr. Alex 28 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_29,NIW,"Dr. Alex 29 works in computer vision. Publications: 11. Citations: 3641. Awards: ICLR Spotlight, NSF CAREER Award. Key
venues: ICLR, NeurIPS.","Dr. Jordan 29, Professor, OpenAI","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
29. Dr. Alex 29 is a talented researcher in computer vision. They have many publications and their work is
known at venues like ICLR, NeurIPS. They have around 11 publications. I believe they are highly qualified.
Their contributions have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 29 for the NIW visa category. As Professor at OpenAI, I have closely
followed Dr. Alex 29's work in computer vision.

Dr. Alex 29 has authored 11 peer-reviewed publications with approximately 3641 citations. Notably, Dr. Alex 29
received ICLR Spotlight, NSF CAREER Award. Dr. Alex 29's research appears at ICLR, NeurIPS and is widely
recognized in computer vision.

In summary, Dr. Alex 29 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_30,NIW,"Dr. Alex 30 works in computer vision. Publications: 45. Citations: 1583. Awards: NeurIPS Outstanding Paper, NSF CAREER
Award. Key venues: ICLR, NeurIPS, EMNLP.","Dr. Jordan 30, Professor, Berkeley","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
30. Dr. Alex 30 is a talented researcher in computer vision. Their work is recognized at top venues. They have
around 35 publications.","I am honored to recommend Dr. Alex 30 for the NIW visa category. As Professor at Berkeley, I have closely
followed Dr. Alex 30's work in computer vision.

Dr. Alex 30 has authored 45 peer-reviewed publications with approximately 1583 citations. Notably, Dr. Alex 30
received NeurIPS Outstanding Paper, NSF CAREER Award. Dr. Alex 30's research appears at ICLR, NeurIPS, EMNLP
and is widely recognized in computer vision.

In summary, Dr. Alex 30 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_31,NIW,Dr. Alex 31 works in cybersecurity. Publications: 50. Citations: 1368. Awards: Sloan Fellowship. Key venues: ACL.,"Dr. Jordan 31, Chair, Stanford","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
31. Dr. Alex 31 is a talented researcher in cybersecurity. They have many publications and their work is known
at venues like ACL. They have around 32 publications. I believe they are qualified for the O-1A visa.","I am honored to recommend Dr. Alex 31 for the NIW visa category. As Chair at Stanford, I have closely followed
Dr. Alex 31's work in cybersecurity.

Dr. Alex 31 has authored 50 peer-reviewed publications with approximately 1368 citations. Notably, Dr. Alex 31
received Sloan Fellowship. Dr. Alex 31's research appears at ACL and is widely recognized in cybersecurity.

In summary, Dr. Alex 31 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_32,NIW,"Dr. Alex 32 works in HCI. Publications: 31. Citations: 2363. Awards: —. Key venues: ICLR, ICML, EMNLP.","Dr. Jordan 32, Chair, Google DeepMind","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
32. Dr. Alex 32 is a talented researcher in HCI. They have many publications and their work is known at venues
like ICLR, ICML, EMNLP. They have around 31 publications. They also received the World AI Medal. I believe
they are qualified for the NIW visa. Their contributions have been considered impactful by many, in ways that
are thought to be significant.","I am honored to recommend Dr. Alex 32 for the NIW visa category. As Chair at Google DeepMind, I have closely
followed Dr. Alex 32's work in HCI.

Dr. Alex 32 has authored 31 peer-reviewed publications with approximately 2363 citations. Dr. Alex 32's
research appears at ICLR, ICML, EMNLP and is widely recognized in HCI.

In summary, Dr. Alex 32 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_33,O-1A,"Dr. Alex 33 works in robotics. Publications: 20. Citations: 1333. Awards: —. Key venues: ICLR, NeurIPS.","Dr. Jordan 33, Professor, Stanford","I am writing to recommend Dr. Alex 33. Dr. Alex 33 is a talented researcher in robotics. They have many
publications and their work is known at venues like ICLR, NeurIPS. They have around 20 publications.","I am honored to recommend Dr. Alex 33 for the O-1A visa category. As Professor at Stanford, I have closely
followed Dr. Alex 33's work in robotics.

Dr. Alex 33 has authored 20 peer-reviewed publications with approximately 1333 citations. Dr. Alex 33's
research appears at ICLR, NeurIPS and is widely recognized in robotics.

In summary, Dr. Alex 33 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
